City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
747,747,Ende,ID,-8.8432,121.6623,78.58,86,80,2.8,Dwi Putra Hotel - Ende
748,748,Cayenne,GF,4.9333,-52.3333,87.84,76,20,5.01,Hôtel Le Dronmi
749,749,Monclova,MX,26.9,-101.4167,86.05,47,0,4.0,Hotel Royal Inn
758,758,Guaruja,BR,-23.9931,-46.2564,76.91,59,75,5.75,Charme Hotel Guarujá
767,767,Banes,CU,20.9625,-75.7186,88.41,74,46,5.03,Hostal Iván y yailet
777,777,Mto Wa Mbu,TZ,-3.35,35.85,77.59,56,90,6.44,Fanaka Safaris Campsite & Lodges
779,779,Pout,SN,14.7739,-17.0603,83.16,61,0,13.8,chez sada niang
785,785,Tahta,EG,26.7693,31.5021,80.92,32,6,6.78,مصطفي عساف
792,792,El Zulia,CO,7.9325,-72.6012,85.51,65,40,10.36,Hotel El Encanto
793,793,Santa Maria,BR,-29.6842,-53.8069,87.1,48,40,4.61,Hotel Morotin
807,807,Sassandra,CI,4.95,-6.0833,77.14,90,26,7.05,la terrasse
808,808,Isangel,VU,-19.55,169.2667,75.33,82,10,6.89,Tanna Lodge
810,810,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.1,61,100,7.7,Tarumã Tropical Hotel
812,812,Meulaboh,ID,4.1363,96.1285,75.88,89,100,3.67,Kost Pria
816,816,Trincomalee,LK,8.5711,81.2335,81.05,84,85,12.12,Welcombe Hotel
818,818,Baghdad,IQ,33.3406,44.4009,78.71,57,100,4.61,Baghdad Hotel
822,822,Cabatuan,PH,10.8794,122.486,75.54,88,99,9.51,MVC Transient Room
831,831,Hirara,JP,24.8,125.2833,76.57,63,7,13.58,Hotel Atoll Emerald Miyakojima
832,832,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.33,49,95,2.89,Rio Xingu Camping
833,833,Quirinopolis,BR,-18.4483,-50.4517,83.53,52,98,0.85,Rota Hotéis - Quirinópolis GO
843,843,Sattahip,TH,12.6664,100.9007,84.24,100,20,4.61,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
845,845,Sao Francisco,BR,-15.9486,-44.8644,75.25,73,100,2.08,Hotel Supremo
848,848,Rio Brilhante,BR,-21.8019,-54.5464,80.76,66,98,7.05,Hotel Cattani
852,852,Hays,US,30.0502,-98.0336,82.27,48,0,4.0,Sinya on Lone Man Creek
853,853,Makurdi,NG,7.7411,8.5121,81.21,66,98,2.86,Doo Palace Hotel
